,Date,Open,High,Low,Close,Volume,Adj_Close
2022-12-28 23:33:00,1672281180000,16494.2,16506.8,16493.0,16500.1,457.292,16500.10
2022-12-28 23:34:00,1672281240000,16500.1,16519.5,16499.1,16519.4,451.313,16519.40
2022-12-28 23:35:00,1672281300000,16519.5,16521.2,16516.2,16516.3,168.812,16516.30
2022-12-28 23:36:00,1672281360000,16516.3,16516.3,16510.6,16513.9,111.545,16513.90
2022-12-28 23:37:00,1672281420000,16514.0,16522.6,16513.9,16521.3,195.625,16521.30
2022-12-28 23:38:00,1672281480000,16521.3,16521.3,16517.9,16518.9,113.532,16518.90
2022-12-28 23:39:00,1672281540000,16518.9,16520.0,16518.1,16520.0,48.833,16520.00
2022-12-28 23:40:00,1672281600000,16520.0,16526.2,16519.9,16526.1,153.847,16526.10
2022-12-28 23:41:00,1672281660000,16526.2,16541.2,16526.1,16541.1,351.107,16541.10
2022-12-28 23:42:00,1672281720000,16541.1,16541.2,16537.1,16537.5,218.237,16537.50
2022-12-28 23:43:00,1672281780000,16537.4,16537.5,16534.2,16534.2,114.584,16534.20
2022-12-28 23:44:00,1672281840000,16534.2,16539.0,16534.2,16539.0,111.472,16539.00
2022-12-28 23:45:00,1672281900000,16539.0,16539.8,16535.2,16537.8,344.133,16537.80
2022-12-28 23:46:00,1672281960000,16537.8,16540.4,16537.7,16540.4,79.618,16540.40
2022-12-28 23:47:00,1672282020000,16540.4,16544.7,16536.4,16540.1,571.707,16540.10
2022-12-28 23:48:00,1672282080000,16540.1,16546.7,16540.1,16543.6,268.647,16543.60
2022-12-28 23:49:00,1672282140000,16543.6,16546.5,16538.4,16544.3,291.285,16544.30
2022-12-28 23:50:00,1672282200000,16544.3,16544.3,16540.3,16540.3,87.866,16540.30
2022-12-28 23:51:00,1672282260000,16540.4,16540.4,16538.0,16538.0,54.374,16538.00
2022-12-28 23:52:00,1672282320000,16538.0,16543.7,16537.0,16543.7,153.504,16543.70
2022-12-28 23:53:00,1672282380000,16543.7,16543.7,16539.9,16540.0,116.084,16540.00
2022-12-28 23:54:00,1672282440000,16539.9,16540.0,16538.9,16539.0,50.093,16539.00
2022-12-28 23:55:00,1672282500000,16538.9,16539.0,16537.1,16537.2,17.765,16537.20
2022-12-28 23:56:00,1672282560000,16537.1,16537.2,16530.6,16530.6,166.147,16530.60
2022-12-28 23:57:00,1672282620000,16530.7,16533.6,16530.3,16531.7,219.481,16531.70
2022-12-28 23:58:00,1672282680000,16531.8,16534.4,16531.7,16534.4,63.568,16534.40
2022-12-28 23:59:00,1672282740000,16534.3,16535.9,16534.3,16535.9,41.886,16535.90
2022-12-29 00:00:00,1672282800000,16535.9,16536.4,16532.8,16536.4,132.788,16536.40
2022-12-29 00:01:00,1672282860000,16536.3,16536.3,16530.8,16530.8,71.208,16530.80
2022-12-29 00:02:00,1672282920000,16530.8,16531.5,16530.1,16531.4,110.108,16531.40
2022-12-29 00:03:00,1672282980000,16531.5,16534.7,16531.4,16534.7,59.113,16534.70
2022-12-29 00:04:00,1672283040000,16534.6,16534.7,16530.8,16531.7,75.454,16531.70
2022-12-29 00:05:00,1672283100000,16531.6,16535.0,16531.6,16533.4,114.979,16533.40
2022-12-29 00:06:00,1672283160000,16533.5,16534.0,16531.3,16534.0,138.203,16534.00
2022-12-29 00:07:00,1672283220000,16533.9,16534.0,16532.0,16532.3,96.468,16532.30
2022-12-29 00:08:00,1672283280000,16532.2,16534.0,16532.2,16533.1,74.092,16533.10
2022-12-29 00:09:00,1672283340000,16533.1,16533.7,16531.8,16531.9,31.039,16531.90
2022-12-29 00:10:00,1672283400000,16531.9,16532.8,16530.2,16532.8,74.912,16532.80
2022-12-29 00:11:00,1672283460000,16532.7,16532.8,16531.8,16531.8,67.273,16531.80
2022-12-29 00:12:00,1672283520000,16531.9,16531.9,16531.8,16531.9,23.865,16531.90
2022-12-29 00:13:00,1672283580000,16531.8,16531.9,16529.8,16530.0,50.523,16530.00
2022-12-29 00:14:00,1672283640000,16529.9,16530.0,16529.8,16529.8,33.408,16529.80
2022-12-29 00:15:00,1672283700000,16529.8,16531.9,16529.8,16531.9,70.5,16531.90
2022-12-29 00:16:00,1672283760000,16531.9,16538.4,16531.8,16538.4,72.583,16538.40
2022-12-29 00:17:00,1672283820000,16538.3,16545.3,16538.3,16545.3,132.881,16545.30
2022-12-29 00:18:00,1672283880000,16545.3,16548.9,16542.9,16544.2,168.84,16544.20
2022-12-29 00:19:00,1672283940000,16544.2,16549.4,16544.2,16549.3,88.797,16549.30
2022-12-29 00:20:00,1672284000000,16549.4,16551.9,16545.4,16545.4,320.248,16545.40
2022-12-29 00:21:00,1672284060000,16545.5,16549.5,16544.4,16549.4,81.237,16549.40
